song1,3,3,4,5,5,4,3,2,1,1,2,3,3,2,2,3,3,4,5,5,4,3,2,1,1,2,3,2,1,1
song2,5,3,3,4,2,2,1,2,3,4,5,5,5,5,3,3,4,2,2,1,3,5,5,3,,,,,,
song3,3,2,3,2,3,7,2,1,6,1,3,6,7,3,5,7,1,,,,,,,,,,,,,
